Authors;Title;Year;Volume;Issue;Start Page;End Page;Abstract;DOI;Author Keywords;Publication Title;Link;Database;Title_lower
Federico Pallottino and Simona Violino and Simone Figorilli and Catello Pane and Jacopo Aguzzi and Giacomo Colle and Eugenio {Nerio Nemmi} and Alessandro Montaghi and Damianos Chatzievangelou and Francesca Antonucci and Lavinia Moscovini and Alessandro Mei and Corrado Costa and Luciano Ortenzi;Applications and perspectives of Generative Artificial Intelligence in agriculture;2025;230;Desconocido;109919;Desconocido;Artificial Intelligence (AI) applications related to agriculture have recently gained in use and attention. They are indeed valuable tools for interpreting data, improving production chains, and optimizing the use of natural resources. Among AI models, the most recent and promising area is represented by Generative Artificial Intelligence (GAI). After an initial description of its general model architectures, this work aims to review its practical uses and potentials in the following individual sectors: agriculture, precision farming, and animal farming, as well as interdisciplinary applications. The literature search was carried out using the SCOPUS, Google Scholar, and Web of Science databases. GAI holds immense potential for revolutionizing agriculture, offering solutions ranging from precision farming to pest management and supply chain optimization. Though some applications can extend beyond efficiency gains, and hallucinations occurrence i.e. false output information presented as fact, remains an open issue, GAI can be decisive for tasks like improving training datasets, refining models, and facilitating time series analysis. This review extensively describes the vital importance of these tasks for agriculture, precision and animal farming, caused by the rise of new technologies. As a result, by embracing and responsibly implementing GAI applications, it is possible to create a more sustainable and resilient future for agriculture and precision farming. GAI have the capacity to extract specific information from big data systems, offering huge potential to meet a growing global population demand and consequent environmental challenges for the future.;https://doi.org/10.1016/j.compag.2025.109919;"GAI; GAN; NLP; LLMs; ChatGPT; Microsoft Copilot";Computers and Electronics in Agriculture;https://www.sciencedirect.com/science/article/pii/S0168169925000250;ScienceDirect;applications and perspectives of generative artificial intelligence in agriculture
Ali Derakhshan;EFL students’ perceptions about the role of generative artificial intelligence (GAI)-mediated instruction in their emotional engagement and goal orientation: A motivational climate theory (MCT) perspective in focus;2025;90;Desconocido;102114;Desconocido;Research on the contributions of generative artificial intelligence (GAI) technologies to second language (L2) education has soared in the past couple of years. However, there is limited evidence pertaining to the impact of AI-mediated instruction on postgraduate students’ psycho-affective factors and the overall learning climate in English as a foreign language (EFL) context. To address this gap, the present study drew on motivational climate theory (MCT) to explore postgraduate EFL students’ perceptions of the role of GAI technologies in their emotional engagement and goal orientation. To do so, an interview was conducted with 30 postgraduate students using maximum variation sampling. The results of the inductive thematic analysis revealed that AI-mediated instruction had affected both the emotional engagement and goal orientation of the students. In particular, it was found that GAI tools fostered emotional engagement by ‘enlightening teacher-student classroom relationships’, ‘making the overall classroom culture/climate engaging, motivating, and updated’, ‘improving teachers’ action, instruction, and feedback quality’, ‘providing a personalized, interactive, and autonomy supporting education’, and ‘taping into learner-specific idiosyncrasies and individual differences’. Furthermore, GAI tools affected the students’ goal orientation by ‘facilitating the mastery of course content’, ‘setting personalized and achievable goals’, ‘fostering students’ performance comparison in the classroom’, and ‘providing a reflective and adaptive learning environment’. The findings are discussed and implications are provided for EFL teachers, students, teacher educators, and policymakers concerning the interplay of GAI, emotions, goal orientation, and motivational climate.;https://doi.org/10.1016/j.lmot.2025.102114;"Achievement goal theory; Emotional engagement; Generative artificial intelligence (GAI); Goal orientation; L2 education; Motivational climate theory (MCT); Self-determination theory (SDT)";Learning and Motivation;https://www.sciencedirect.com/science/article/pii/S0023969025000219;ScienceDirect;efl students’ perceptions about the role of generative artificial intelligence (gai)-mediated instruction in their emotional engagement and goal orientation: a motivational climate theory (mct) perspective in focus
O. Peña Ruiz and J. Sifuentes-Cervantes and J. Castellanos and F. Bermudez;71361968-2414 - Is Generative-Artificial Intelligence (AI) able to diagnose and classify facial trauma as an Oral Surgeon?;2025;54;Desconocido;42;Desconocido;Desconocido;https://doi.org/10.1016/j.ijom.2025.04.126;Desconocido;International Journal of Oral and Maxillofacial Surgery;https://www.sciencedirect.com/science/article/pii/S0901502725002401;ScienceDirect;71361968-2414 - is generative-artificial intelligence (ai) able to diagnose and classify facial trauma as an oral surgeon?
Jeffrey Huang and Simon Elias Bibri and Paul Keel;Generative spatial artificial intelligence for sustainable smart cities: A pioneering large flow model for urban digital twin;2025;24;Desconocido;100526;Desconocido;Rapid urbanization, alongside escalating resource depletion and ecological degradation, underscores the critical need for innovative urban development solutions. In response, sustainable smart cities are increasingly turning to cutting-edge technologies—such as Generative Artificial Intelligence (GenAI), Foundation Models (FMs), and Urban Digital Twin (UDT) frameworks—to transform urban planning and design practices. These transformative tools provide advanced capabilities to analyze complex urban systems, optimize resource management, and enable evidence-based decision-making. Despite recent progress, research on integrating GenAI and FMs into UDT frameworks remains scant, leaving gaps in our ability to capture complex urban flows and multimodal dynamics essential to achieving environmental sustainability goals. Moreover, the lack of a robust theoretical foundation and real-world operationalization of these tools hampers comprehensive modeling and practical adoption. This study introduces a pioneering Large Flow Model (LFM), grounded in a robust foundational framework and designed with GenAI capabilities. It is specifically tailored for integration into UDT systems to enhance predictive analytics, adaptive learning, and complex data management functionalities. To validate its applicability and relevance, the Blue City Project in Lausanne City is examined as a case study, showcasing the ability of the LFM to effectively model and analyze urban flows—namely mobility, goods, energy, waste, materials, and biodiversity—critical to advancing environmental sustainability. This study highlights how the LFM addresses the spatial challenges inherent in current UDT frameworks. The LFM demonstrates its novelty in comprehensive urban modeling and analysis by completing impartial city data, estimating flow data in new locations, predicting the evolution of flow data, and offering a holistic understanding of urban dynamics and their interconnections. The model enhances decision-making processes, supports evidence-based planning and design, fosters integrated development strategies, and enables the development of more efficient, resilient, and sustainable urban environments. This research advances both the theoretical and practical dimensions of AI-driven, environmentally sustainable urban development by operationalizing GenAI and FMs within UDT frameworks. It provides sophisticated tools and valuable insights for urban planners, designers, policymakers, and researchers to address the complexities of modern cities and accelerate the transition towards sustainable urban futures.;https://doi.org/10.1016/j.ese.2025.100526;"Sustainable smart cities; Generative artificial intelligence; Generative spatial artificial intelligence; Foundation models; Large flow model; Urban digital twin; Urban planning and design";Environmental Science and Ecotechnology;https://www.sciencedirect.com/science/article/pii/S2666498425000043;ScienceDirect;generative spatial artificial intelligence for sustainable smart cities: a pioneering large flow model for urban digital twin
Jeffrey Huang and Simon Elias Bibri and Paul Keel;Generative spatial artificial intelligence for sustainable smart cities: A pioneering large flow model for urban digital twin;2025;24;Desconocido;100526;Desconocido;Rapid urbanization, alongside escalating resource depletion and ecological degradation, underscores the critical need for innovative urban development solutions. In response, sustainable smart cities are increasingly turning to cutting-edge technologies—such as Generative Artificial Intelligence (GenAI), Foundation Models (FMs), and Urban Digital Twin (UDT) frameworks—to transform urban planning and design practices. These transformative tools provide advanced capabilities to analyze complex urban systems, optimize resource management, and enable evidence-based decision-making. Despite recent progress, research on integrating GenAI and FMs into UDT frameworks remains scant, leaving gaps in our ability to capture complex urban flows and multimodal dynamics essential to achieving environmental sustainability goals. Moreover, the lack of a robust theoretical foundation and real-world operationalization of these tools hampers comprehensive modeling and practical adoption. This study introduces a pioneering Large Flow Model (LFM), grounded in a robust foundational framework and designed with GenAI capabilities. It is specifically tailored for integration into UDT systems to enhance predictive analytics, adaptive learning, and complex data management functionalities. To validate its applicability and relevance, the Blue City Project in Lausanne City is examined as a case study, showcasing the ability of the LFM to effectively model and analyze urban flows—namely mobility, goods, energy, waste, materials, and biodiversity—critical to advancing environmental sustainability. This study highlights how the LFM addresses the spatial challenges inherent in current UDT frameworks. The LFM demonstrates its novelty in comprehensive urban modeling and analysis by completing impartial city data, estimating flow data in new locations, predicting the evolution of flow data, and offering a holistic understanding of urban dynamics and their interconnections. The model enhances decision-making processes, supports evidence-based planning and design, fosters integrated development strategies, and enables the development of more efficient, resilient, and sustainable urban environments. This research advances both the theoretical and practical dimensions of AI-driven, environmentally sustainable urban development by operationalizing GenAI and FMs within UDT frameworks. It provides sophisticated tools and valuable insights for urban planners, designers, policymakers, and researchers to address the complexities of modern cities and accelerate the transition towards sustainable urban futures.;https://doi.org/10.1016/j.ese.2025.100526;"Sustainable smart cities; Generative artificial intelligence; Generative spatial artificial intelligence; Foundation models; Large flow model; Urban digital twin; Urban planning and design";Environmental Science and Ecotechnology;https://www.sciencedirect.com/science/article/pii/S2666498425000043;ScienceDirect;generative spatial artificial intelligence for sustainable smart cities: a pioneering large flow model for urban digital twin
Rukiye Kevser Sağlam and Bilge Kalanlar;Living with and without AI: A mixed-methods study on AI usage, addiction, and 'AIlessphobia' in nursing students;2025;88;Desconocido;104530;Desconocido;"Aim
The aim of this study is to examine nursing students' attitudes toward AI use, their patterns of use and levels of AI addiction, as well as to evaluate the impact of emerging fears such as AIlessphobia.
Background
Generative artificial intelligence (AI) is rapidly evolving and is increasingly being used among university students. Concepts such as “AIlessphobia” -the fear of being without AI- highlight the emergence of these issues.
Design
This study used a mixed-methods design.
Methods
The study was carried out during the 2024–2025 Spring Semester with nursing students. Data were collected using the Scale for Dependence on Artificial Intelligence (DAI) and semi-structured interview questions. Qualitative interviews were conducted with students who scored 15 or higher on DAI. The quantitative sample consists of 200 students and the qualitative sample was determined based on quantitative and qualitative data.
Results
Most participants (81.5 %) reported using AI tools, with ChatGPT being the most preferred among them. The interview included 13 questions and the themes emerged during the individual interviews. Thematic analysis highlighted five themes: educational benefits, negative effects, AI addiction, future expectations and AIlessphobia. Students noted that AI eased learning but reduced critical thinking and reported emotional distress when deprived of AI access.
Conclusions
The widespread use of AI tools in education produces both positive and negative effects. It is essential for educators to support students in integrating these tools with critical thinking skills and digital awareness. Such support is crucial for preventing AI addiction and AIlessphobia.";https://doi.org/10.1016/j.nepr.2025.104530;"Artificial intelligence; Nursing students; Addiction; AIlessphobia";Nurse Education in Practice;https://www.sciencedirect.com/science/article/pii/S1471595325002872;ScienceDirect;living with and without ai: a mixed-methods study on ai usage, addiction, and 'ailessphobia' in nursing students
Haerim Hwang and Xingyu Chang and Jiaxin Sun;Generative AI is useful for second language writing, but when, why, and for how long do learners use it?;2025;69;Desconocido;101230;Desconocido;Numerous studies have highlighted the benefits of recent advancements in generative artificial intelligence (AI) technology for second language (L2) writing. However, most of these studies have relied on pretest/posttest designs or interview/questionnaire methods that reflect the researchers’ perspectives. To expand the research on this topic, we take two approaches. Firstly, we investigate how L2 learners of English utilize ChatGPT in a writing task in real time by analyzing recordings of their computer screens collected throughout the writing process. Secondly, we explore how they perceive the usefulness of ChatGPT by analyzing their responses to an open-ended question. Frequency and time-series analyses show that the participants primarily utilized ChatGPT to generate ideas, particularly during the initial stages of writing. They also used it later in the writing process, albeit less frequently and for less time overall, for a word/grammar search/check, polishing, and example generation, alongside idea generation. Semantic network analyses of their responses to the open-ended question further reveal that the participants generally held a positive opinion of ChatGPT, valuing its assistance in content creation and time management, while expressing some concerns. The results emphasize the potential of generative AI in facilitating L2 writing and suggest the importance of digital literacy.;https://doi.org/10.1016/j.jslw.2025.101230;"Generative AI; Second language writing; Screen recording; Frequency; Duration; Semantic network analysis";Journal of Second Language Writing;https://www.sciencedirect.com/science/article/pii/S1060374325000554;ScienceDirect;generative ai is useful for second language writing, but when, why, and for how long do learners use it?
Rukiye Kevser Sağlam and Bilge Kalanlar;Living with and without AI: A mixed-methods study on AI usage, addiction, and 'AIlessphobia' in nursing students;2025;88;Desconocido;104530;Desconocido;"Aim
The aim of this study is to examine nursing students' attitudes toward AI use, their patterns of use and levels of AI addiction, as well as to evaluate the impact of emerging fears such as AIlessphobia.
Background
Generative artificial intelligence (AI) is rapidly evolving and is increasingly being used among university students. Concepts such as “AIlessphobia” -the fear of being without AI- highlight the emergence of these issues.
Design
This study used a mixed-methods design.
Methods
The study was carried out during the 2024–2025 Spring Semester with nursing students. Data were collected using the Scale for Dependence on Artificial Intelligence (DAI) and semi-structured interview questions. Qualitative interviews were conducted with students who scored 15 or higher on DAI. The quantitative sample consists of 200 students and the qualitative sample was determined based on quantitative and qualitative data.
Results
Most participants (81.5 %) reported using AI tools, with ChatGPT being the most preferred among them. The interview included 13 questions and the themes emerged during the individual interviews. Thematic analysis highlighted five themes: educational benefits, negative effects, AI addiction, future expectations and AIlessphobia. Students noted that AI eased learning but reduced critical thinking and reported emotional distress when deprived of AI access.
Conclusions
The widespread use of AI tools in education produces both positive and negative effects. It is essential for educators to support students in integrating these tools with critical thinking skills and digital awareness. Such support is crucial for preventing AI addiction and AIlessphobia.";https://doi.org/10.1016/j.nepr.2025.104530;"Artificial intelligence; Nursing students; Addiction; AIlessphobia";Nurse Education in Practice;https://www.sciencedirect.com/science/article/pii/S1471595325002872;ScienceDirect;living with and without ai: a mixed-methods study on ai usage, addiction, and 'ailessphobia' in nursing students
Haerim Hwang and Xingyu Chang and Jiaxin Sun;Generative AI is useful for second language writing, but when, why, and for how long do learners use it?;2025;69;Desconocido;101230;Desconocido;Numerous studies have highlighted the benefits of recent advancements in generative artificial intelligence (AI) technology for second language (L2) writing. However, most of these studies have relied on pretest/posttest designs or interview/questionnaire methods that reflect the researchers’ perspectives. To expand the research on this topic, we take two approaches. Firstly, we investigate how L2 learners of English utilize ChatGPT in a writing task in real time by analyzing recordings of their computer screens collected throughout the writing process. Secondly, we explore how they perceive the usefulness of ChatGPT by analyzing their responses to an open-ended question. Frequency and time-series analyses show that the participants primarily utilized ChatGPT to generate ideas, particularly during the initial stages of writing. They also used it later in the writing process, albeit less frequently and for less time overall, for a word/grammar search/check, polishing, and example generation, alongside idea generation. Semantic network analyses of their responses to the open-ended question further reveal that the participants generally held a positive opinion of ChatGPT, valuing its assistance in content creation and time management, while expressing some concerns. The results emphasize the potential of generative AI in facilitating L2 writing and suggest the importance of digital literacy.;https://doi.org/10.1016/j.jslw.2025.101230;"Generative AI; Second language writing; Screen recording; Frequency; Duration; Semantic network analysis";Journal of Second Language Writing;https://www.sciencedirect.com/science/article/pii/S1060374325000554;ScienceDirect;generative ai is useful for second language writing, but when, why, and for how long do learners use it?
Nikos Ntoumanis and Arlen C. Moller;Self-determination theory informed research for promoting physical activity: Contributions, debates, and future directions;2025;80;Desconocido;102879;Desconocido;In this review we evaluate the applications of self-determination theory (SDT) research to promote motivation for physical activity (PA) and exercise. The evidence suggests that SDT-informed interventions are often effective at changing health behaviors, including PA/exercise, and associated health outcomes. The effect sizes are small to moderate and are often mediated by increases in autonomous motivation (primarily), interpersonal support for basic psychological needs, and competence need satisfaction. We also identify conceptual debates within the SDT literature and between SDT and other literatures, and discuss their relevance with respect to PA. We particularly focus on tripartite conceptualizations of interpersonal styles and psychological needs, whether there are more than three basic psychological needs, and the use of financial incentives and competition to promote PA. Our review also provides future conceptual and methodological directions for SDT-based research, building on advances in technology (e.g., generative Artificial Intelligence and Large Language Models) and the broader field of behavioral science (e.g., optimization designs, system-level interventions, behavior change intervention ontologies).;https://doi.org/10.1016/j.psychsport.2025.102879;"Narrative review; Tripartite model; Behavioral science; Motivation; Financial incentives; Competition";Psychology of Sport and Exercise;https://www.sciencedirect.com/science/article/pii/S1469029225000780;ScienceDirect;self-determination theory informed research for promoting physical activity: contributions, debates, and future directions
